"site","name","main_party","CD","Centre","NCP","FP","SDP","Left","Green","year","fin","swe","other","low_income","education","unemp_prop","entrepreneurs","shareOver18","n_father","n_over18","fam","defam","main_party_spp","CD_spp","Centre_spp","NCP_spp","FP_spp","SDP_spp","Left_spp","Green_spp","SPP_spp","fam_spp","defam_spp"
5,"Alajärvi","Centre",0.077392109105962,0.453797318125289,0.0783597312472227,0.296840752082912,0.0528188057535533,0.0278028198270582,0.0129884638580024,2009,98.5623758630474,0.075664428260664,1.36195970869195,19.1,253,10.3833333333333,8.30980729102737,0.109243697478992,119,13,43.6144081998075,15.2468981136564,"Centre",0.0730418092275848,0.429880912911191,0.0741077045033967,0.28172709898791,0.0499411897917202,0.0261766252127277,0.0120253120458565,0.00186035087974808,41.3302329212952,14.5079512545256
5,"Alajärvi","Centre",0.077392109105962,0.453797318125289,0.0783597312472227,0.296840752082912,0.0528188057535533,0.0278028198270582,0.0129884638580024,2010,98.2359111280633,0.0667493086678745,1.69733956326881,17.4,257.8,9.25833333333333,8.08068308377676,0.072,125,9,43.6144081998075,15.2468981136564,"Centre",0.0730418092275848,0.429880912911191,0.0741077045033967,0.28172709898791,0.0499411897917202,0.0261766252127277,0.0120253120458565,0.00186035087974808,41.3302329212952,14.5079512545256
5,"Alajärvi","Centre",0.077392109105962,0.453797318125289,0.0783597312472227,0.296840752082912,0.0528188057535533,0.0278028198270582,0.0129884638580024,2011,97.9083954681902,0.0677834801975404,2.02382105161228,18.6,261.6,8.63333333333333,7.69520461963344,0.159663865546218,119,18.9999999999999,43.6144081998075,15.2468981136564,"Centre",0.0730418092275848,0.429880912911191,0.0741077045033967,0.28172709898791,0.0499411897917202,0.0261766252127277,0.0120253120458565,0.00186035087974808,41.3302329212952,14.5079512545256
5,"Alajärvi","Centre",0.077392109105962,0.453797318125289,0.0783597312472227,0.296840752082912,0.0528188057535533,0.0278028198270582,0.0129884638580024,2012,97.9158550837554,0.0876509544215037,1.99649396182314,16.8,266.6,9.03333333333333,7.34349414283915,0.173076923076923,104,18,43.6144081998075,15.2468981136564,"Centre",0.0730418092275848,0.429880912911191,0.0741077045033967,0.28172709898791,0.0499411897917202,0.0261766252127277,0.0120253120458565,0.00186035087974808,41.3302329212952,14.5079512545256
5,"Alajärvi","Centre",0.077392109105962,0.453797318125289,0.0783597312472227,0.296840752082912,0.0528188057535533,0.0278028198270582,0.0129884638580024,2013,97.5457123301066,0.0880023467292461,2.36628532316417,17.5,270.8,10.5333333333333,7.15276901728271,0.25,96,24,43.6144081998075,15.2468981136564,"Centre",0.0730418092275848,0.429880912911191,0.0741077045033967,0.28172709898791,0.0499411897917202,0.0261766252127277,0.0120253120458565,0.00186035087974808,41.3302329212952,14.5079512545256
5,"Alajärvi","Centre",0.077392109105962,0.453797318125289,0.0783597312472227,0.296840752082912,0.0528188057535533,0.0278028198270582,0.0129884638580024,2014,97.4535443909154,0.108150624324059,2.43830498476059,16.2,275.3,10.9166666666667,7.06955530216648,0.322916666666667,96,31,43.6144081998075,15.2468981136564,"Centre",0.0730418092275848,0.429880912911191,0.0741077045033967,0.28172709898791,0.0499411897917202,0.0261766252127277,0.0120253120458565,0.00186035087974808,41.3302329212952,14.5079512545256
5,"Alajärvi","Centre",0.077392109105962,0.453797318125289,0.0783597312472227,0.296840752082912,0.0528188057535533,0.0278028198270582,0.0129884638580024,2015,97.671397161703,0.109934039576254,2.21866879872077,16.1,279.5,11.2666666666667,6.78727226071337,0.278350515463918,97,27,43.6144081998075,15.2468981136564,"Centre",0.0730418092275848,0.429880912911191,0.0741077045033967,0.28172709898791,0.0499411897917202,0.0261766252127277,0.0120253120458565,0.00186035087974808,41.3302329212952,14.5079512545256
5,"Alajärvi","Centre",0.077392109105962,0.453797318125289,0.0783597312472227,0.296840752082912,0.0528188057535533,0.0278028198270582,0.0129884638580024,2016,97.9088796848167,0.111122335589453,1.9799979795939,16,285.1,10.7,6.39647805257025,0.340909090909091,88,30,43.6144081998075,15.2468981136564,"Centre",0.0730418092275848,0.429880912911191,0.0741077045033967,0.28172709898791,0.0499411897917202,0.0261766252127277,0.0120253120458565,0.00186035087974808,41.3302329212952,14.5079512545256
5,"Alajärvi","Centre",0.077392109105962,0.453797318125289,0.0783597312472227,0.296840752082912,0.0528188057535533,0.0278028198270582,0.0129884638580024,2017,97.7520089512766,0.111890957176279,2.13610009154715,16.6,289.4,9.75,6.34405812143228,0.293478260869565,92,27,43.6144081998075,15.2468981136564,"Centre",0.0730418092275848,0.429880912911191,0.0741077045033967,0.28172709898791,0.0499411897917202,0.0261766252127277,0.0120253120458565,0.00186035087974808,41.3302329212952,14.5079512545256
9,"Alavieska","Centre",0.0438137874053562,0.643587397201287,0.0341228302680576,0.153753335847066,0.0569212200242786,0.0391691395579168,0.0286322896960376,2009,99.4596541786744,0.216138328530259,0.324207492795389,19.1,246.8,12.4333333333333,10.3599221789883,0.142857142857143,28,4,50.3991295405651,17.9053125387741,"Centre",0.0429917582102847,0.633480321305898,0.0334478558309395,0.150163722144854,0.0560220012383021,0.0384085418366898,0.0281041747858972,0.00141216048113199,49.5710249204734,17.7218013502748
